,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
8/19/2004,100.01,104.06,95.96,100.335,2.51614209,44659000,0,1
8/20/2004,101.01,109.08,100.5,108.31,2.716134447,22834300,0,1
8/23/2004,110.76,113.48,109.05,109.4,2.743468825,18256100,0,1
8/24/2004,111.24,111.6,103.57,104.87,2.629868151,15247300,0,1
8/25/2004,104.76,108,103.88,106,2.658205626,9188600,0,1
8/26/2004,104.95,107.95,104.66,107.91,2.706103482,7094800,0,1
8/27/2004,108.1,108.62,105.69,106.15,2.661967238,6211700,0,1
8/30/2004,105.28,105.49,102.01,102.01,2.558146754,5196700,0,1
8/31/2004,102.32,103.71,102.16,102.37,2.567174622,4917800,0,1
9/1/2004,102.7,102.97,99.67,100.25,2.51401051,9138200,0,1
9/2/2004,99.09,102.37,98.94,101.51,2.545608048,15118600,0,1
9/3/2004,100.95,101.74,99.32,100.01,2.507991931,5152400,0,1
9/7/2004,101.01,102,99.61,101.58,2.547363467,5847500,0,1
9/8/2004,100.74,103.03,100.5,102.3,2.565419203,4985600,0,1
9/9/2004,102.5,102.71,101,102.31,2.565669977,4061700,0,1
9/10/2004,101.47,106.56,101.3,105.33,2.64140376,8698800,0,1
9/13/2004,106.63,108.41,106.46,107.5,2.695821743,7844100,0,1
9/14/2004,107.44,112,106.79,111.49,2.795880616,10828900,0,1
9/15/2004,110.56,114.23,110.2,112,2.808670096,10713000,0,1
9/16/2004,112.34,115.8,111.65,113.97,2.858072596,9266300,0,1
9/17/2004,114.42,117.49,113.55,117.49,2.946345085,9472500,0,1
9/20/2004,116.95,121.6,116.77,119.36,2.993239845,10628700,0,1
9/21/2004,120.2,120.42,117.51,117.84,2.955122179,7228700,0,1
9/22/2004,117.45,119.67,116.81,118.38,2.968663981,7581200,0,1
9/23/2004,118.84,122.63,117.02,120.82,3.029852866,8535600,0,1
9/24/2004,120.97,124.1,119.76,119.83,3.005026228,9123400,0,1
9/27/2004,119.56,120.88,117.8,118.26,2.965654692,7066100,0,1
9/28/2004,121.15,127.4,120.21,126.86,3.181320431,16929000,0,1
9/29/2004,126.53,135.02,126.23,131.08,3.287147108,30516400,0,1
9/30/2004,129.899,132.3,129,129.6,3.250032539,13758000,0,1
10/1/2004,130.8,134.24,128.9,132.58,3.324763226,15124800,0,1
10/4/2004,135.275,136.87,134.03,135.06,3.386955206,13022700,0,1
10/5/2004,134.66,138.53,132.24,138.37,3.469961439,14973200,0,1
10/6/2004,137.67,138.45,136,137.08,3.437611578,13381400,0,1
10/7/2004,136.56,139.88,136.55,138.85,3.481998596,14115000,0,1
10/8/2004,138.73,139.68,137.02,137.73,3.453911895,11069500,0,1
10/11/2004,137.01,138.86,133.85,135.26,3.391970689,10472100,0,1
10/12/2004,134.49,137.61,133.4,137.4,3.445636349,11665500,0,1
10/13/2004,143.24,143.55,140.08,140.9,3.53340729,19766200,0,1
10/14/2004,141.02,142.38,138.56,142,3.560992443,10442100,0,1
10/15/2004,144.95,145.5,141.95,144.11,3.613905781,13194700,0,1
10/18/2004,143.12,149.2,141.21,149.16,3.740546709,14036300,0,1
10/19/2004,150.5,152.4,147.35,147.94,3.709952267,18109800,0,1
10/20/2004,147.94,148.99,139.6,140.49,3.523125551,22722600,0,1
10/21/2004,144.13,150.13,141.62,149.38,3.74606374,29149800,0,1
10/22/2004,170.435,180.17,164.08,172.43,4.324098077,73710000,0,1
10/25/2004,176.28,194.43,172.55,187.4,4.699506928,65462800,0,1
10/26/2004,186.449,192.64,180,181.8,4.559073423,44569500,0,1
10/27/2004,182.509,189.52,181.77,185.97,4.663646229,26686200,0,1
10/28/2004,186.63,194.39,185.6,193.3,4.847463656,29663900,0,1
10/29/2004,198.87,199.95,190.6,190.64,4.780757741,42282600,0,1
11/1/2004,193.5,197.67,191.27,196.03,4.91592499,24425300,0,1
11/2/2004,198.73,199.25,193.34,194.87,4.886835192,22669900,0,1
11/3/2004,198.19,201.6,190.75,191.67,4.806587475,27749600,0,1
11/4/2004,188.25,190.4,183.35,184.7,4.631797916,28790300,0,1
11/5/2004,182,182.3,168.55,169.35,4.246859649,39626500,0,1
11/8/2004,170.86,175.44,169.4,172.55,4.327107366,22361200,0,1
11/9/2004,174.1,175.2,165.27,168.7,4.230559331,22106200,0,1
11/10/2004,170.67,172.52,166.33,167.86,4.209494306,21266700,0,1
11/11/2004,169.32,183.75,167.57,183.02,4.589667865,29941000,0,1
11/12/2004,185.23,189.8,177.4,182,4.564088905,33458700,0,1
11/15/2004,180.45,188.32,178.75,184.87,4.636061076,23779100,0,1
11/16/2004,174.39,179.47,170.83,172.545,4.326981979,41792900,0,1
11/17/2004,169.02,177.5,169,172.5,4.325853495,36229500,0,1
11/18/2004,170.4,174.42,165.73,167.54,4.201469534,33225900,0,1
11/19/2004,169.06,169.98,166.52,169.4,4.248113519,17521000,0,1
11/22/2004,168.6,169.5,161.31,165.1,4.14028065,24711600,0,1
11/23/2004,167.915,170.83,166.5,167.52,4.200967986,24801700,0,1
11/24/2004,174.84,177.21,172.51,174.76,4.382528445,30531400,0,1
11/26/2004,175.8,180.03,175.32,179.39,4.498636861,12947200,0,1
11/29/2004,180.255,182.95,177.51,181.05,4.540265364,21311800,0,1
11/30/2004,180.7,183,180.25,181.98,4.563587357,15384600,0,1
12/1/2004,181.77,182.5,179.55,179.96,4.512930986,15712400,0,1
12/2/2004,179.9,181.51,178.55,179.4,4.498887635,12509200,0,1
12/3/2004,180,181.06,177.6,180.4,4.523965047,11726600,0,1
12/6/2004,179.13,180.7,176.02,176.29,4.420896885,12495400,0,1
12/7/2004,176,176.2,170.55,171.43,4.299020665,13728000,0,1
12/8/2004,170.57,173.68,168.73,169.98,4.262658418,15068500,0,1
12/9/2004,170.25,173.5,168.47,173.43,4.349175488,15292600,0,1
12/10/2004,173.43,174.88,171.29,171.65,4.304537695,8625700,0,1
12/13/2004,172.03,173.18,169.45,170.45,4.274444802,9627500,0,1
12/14/2004,171,178.82,169.6,178.69,4.481082673,22154600,0,1
12/15/2004,177.99,180.69,176.66,179.78,4.508417052,22919000,0,1
12/16/2004,177.22,180.49,175.95,176.47,4.425410819,17128400,0,1
12/17/2004,176.76,180.5,176.55,180.08,4.515940275,14757600,0,1
12/20/2004,182,188.46,181.87,185.02,4.639822688,19649300,0,1
12/21/2004,186.28,187.88,183.4,183.75,4.607974375,11021500,0,1
12/22/2004,183.9,186.85,183.01,186.3,4.671921775,7806100,0,1
12/23/2004,187.45,188.6,186,187.9,4.712045633,7221900,0,1
12/27/2004,189.43,193.3,189.1,191.91,4.812606054,12195900,0,1
12/28/2004,192.11,193.55,191.01,192.76,4.833921854,8283300,0,1
12/29/2004,191.97,193.52,191.78,192.9,4.837432691,5350800,0,1
12/30/2004,192.97,198.23,191.85,197.6,4.955296526,11796700,0,1
12/31/2004,199.23,199.88,192.56,192.79,4.834674176,15321600,0,1
1/3/2005,197.4,203.64,195.46,202.71,5.083442099,31656700,0,1
1/4/2005,201.33,202.93,193.48,194.5,4.87755655,27484200,0,1
1/5/2005,193.45,196.9,192.23,193.51,4.852729912,16456700,0,1
1/6/2005,195.25,195.9,187.72,188.55,4.728345951,20753400,0,1
1/7/2005,190.64,194.25,188.78,193.85,4.861256232,19306400,0,1
1/10/2005,194.5,198.1,191.83,195.06,4.8915999,15064100,0,1
1/11/2005,195.62,197.71,193.18,193.54,4.853482235,13903400,0,1
1/12/2005,194.33,195.93,190.5,195.38,4.899624672,16339200,0,1
1/13/2005,195.38,197.39,194.05,195.33,4.898370801,13685100,0,1
1/14/2005,196,200.01,194.13,199.97,5.014729991,19261300,0,1
1/18/2005,200.89,205.02,198.66,203.9,5.113284219,26318800,0,1
1/19/2005,204.64,205.3,196.71,197.3,4.947773302,22492800,0,1
1/20/2005,192.58,196.25,192,193.92,4.863011651,17985100,0,1
1/21/2005,194.44,195.36,188.12,188.28,4.72157505,18498200,0,1
1/24/2005,188.69,189.33,180.32,180.72,4.531989818,28017300,0,1
1/25/2005,182.2,182.24,176.29,177.12,4.441711137,21297000,0,1
1/26/2005,179.27,189.41,179.15,189.24,4.745649365,24591100,0,1
1/27/2005,188.76,188.86,185.2,188.08,4.716559568,13241500,0,1
1/28/2005,190.13,194.7,186.34,190.34,4.773234518,24391900,0,1
1/31/2005,193.69,196.36,191.72,195.62,4.905643251,19174200,0,1
2/1/2005,194.38,203.75,190.63,191.9,4.81235528,37640300,0,1
2/2/2005,215.55,216.8,203.66,205.96,5.164943686,65533000,0,1
2/3/2005,205.99,213.37,205.81,210.86,5.287823003,25950200,0,1
2/4/2005,206.47,207.75,202.6,204.36,5.124819828,29608900,0,1
2/7/2005,205.26,206.4,195.51,196.03,4.91592499,25894800,0,1
2/8/2005,196.96,200.02,194.53,198.64,4.981377034,22937000,0,1
2/9/2005,200.76,201.6,189.46,191.58,4.804330508,34308600,0,1
2/10/2005,191.97,192.21,185.25,187.98,4.714051826,37927400,0,1
2/11/2005,186.66,192.32,186.07,187.4,4.699506928,26205700,0,1
2/14/2005,186.08,193.08,181,192.99,4.839689658,77047200,0,1
2/15/2005,193.605,199.84,193.08,195.23,4.89586306,51514000,0,1
2/16/2005,194.7,199.33,194.3,198.41,4.975609229,33031500,0,1
2/17/2005,197.83,199.75,196.81,197.9,4.962819749,20807900,0,1
2/18/2005,198.51,198.84,196.66,197.95,4.96407362,16954800,0,1
2/22/2005,196.5,198.9,190.39,191.37,4.799064252,26940400,0,1
2/23/2005,193.3,194.48,188.66,193.95,4.863763973,31140800,0,1
2/24/2005,183.37,189.85,182.23,188.89,4.736872271,51576900,0,1
2/25/2005,189.15,189.92,185.51,185.87,4.661138488,19927000,0,1
2/28/2005,186,189.87,185.85,187.99,4.714302601,15621100,0,1
3/1/2005,189.29,189.75,185.39,186.06,4.665903196,18603700,0,1
3/2/2005,185.95,187.67,184.36,185.18,4.643835074,14556400,0,1
3/3/2005,186.13,187.75,184.31,187.005,4.68960135,15201900,0,1
3/4/2005,186.7,187.25,185.07,185.9,4.66189081,13534600,0,1
3/7/2005,187.78,189.6,187.03,188.81,4.734866078,17317400,0,1
3/8/2005,189.1,189.85,184.97,185.2,4.644336622,16076100,0,1
3/9/2005,184.21,184.65,180.16,181.35,4.547788588,22698000,0,1
3/10/2005,181.01,181.2,177.4,179.98,4.513432534,21899000,0,1
3/11/2005,180.44,180.95,177.15,177.8,4.458763777,16040500,0,1
3/14/2005,178.33,178.4,172.57,174.99,4.38829625,22270900,0,1
3/15/2005,175.25,180,174.21,178.61,4.47907648,20823300,0,1
3/16/2005,176.7,178.61,175.01,175.6,4.403593471,14198300,0,1
3/17/2005,177.13,179.64,175.8,179.29,4.49612912,16504600,0,1
3/18/2005,178.81,180.4,178.31,180.04,4.514937179,14165800,0,1
3/21/2005,179.27,182.17,177.25,180.88,4.536002204,14952400,0,1
3/22/2005,181.18,181.94,177.85,178.6,4.478825706,11252100,0,1
3/23/2005,177.97,180.24,177.97,178.98,4.488355122,9680300,0,1
3/24/2005,180.228,180.86,179.2,179.25,4.495126023,7402900,0,1
3/28/2005,181.68,184.8,180.95,181.42,4.549544007,17458500,0,1
3/29/2005,181.05,183.28,178.07,179.57,4.503150795,12933000,0,1
3/30/2005,180.64,181.45,179.6,180.45,4.525218917,12459700,0,1
3/31/2005,177.95,181.39,177.64,180.51,4.526723562,13523600,0,1
4/1/2005,181.76,182.95,179.99,180.04,4.514937179,12351600,0,1
4/4/2005,179.95,185.32,179.84,185.29,4.646593589,16136600,0,1
4/5/2005,187.73,190.26,187.57,188.57,4.728847499,17455900,0,1
4/6/2005,189.24,189.65,187.58,189.22,4.745147817,10494600,0,1
4/7/2005,188.78,194.62,188.64,193.76,4.858999265,19365000,0,1
4/8/2005,193.69,195.1,191.45,192.05,4.816116891,10222900,0,1
4/11/2005,193.09,194.8,192.32,193.23,4.845708237,10810100,0,1
4/12/2005,193,194.42,189.41,193.955,4.863889361,14624500,0,1
4/13/2005,193.47,194.32,189.73,192.93,4.838185014,13098400,0,1
4/14/2005,193.27,194.36,190.1,191.45,4.801070445,12293000,0,1
4/15/2005,190.1,190.34,184.66,185,4.63932114,23131600,0,1
4/18/2005,184.58,187.88,183.49,186.97,4.688723641,13087400,0,1
4/19/2005,189.33,192,188.03,191.4,4.799816574,16843100,0,1
4/20/2005,198.58,200.5,195.91,198.1,4.967835231,30872000,0,1
4/21/2005,200.42,205,199.32,204.75,5.134600018,35468200,0,1
4/22/2005,222.905,224,214.26,215.81,5.41195619,66343700,0,1
4/25/2005,217.82,224.74,217.52,223.53,5.605553808,39640300,0,1
4/26/2005,220.22,222,218.29,218.75,5.48568378,34509400,0,1
4/27/2005,217.99,220.85,216.74,219.78,5.511513514,20509000,0,1
4/28/2005,219.5,222.08,217.71,219.45,5.503237968,17348200,0,1
4/29/2005,221.91,222.25,217.82,220,5.517030545,18322000,0,1
5/2/2005,222.05,223.7,220.21,222.29,5.574457817,19515200,0,1
5/3/2005,221.54,228.15,221.32,226.19,5.672259722,35524800,0,1
5/4/2005,227.18,229.88,226.999,228.5,5.730188543,24142800,0,1
5/5/2005,228.62,228.62,225.88,226.98,5.692070878,15004100,0,1
5/6/2005,228.4,229.25,226.47,228.02,5.718151386,13514200,0,1
5/9/2005,228,228.5,225.43,226.02,5.667996562,11062500,0,1
5/10/2005,225.47,227.8,224.72,227.8,5.712634355,12678900,0,1
5/11/2005,228.9,231.98,227.93,231.29,5.800154521,22934600,0,1
5/12/2005,230.81,232.23,228.2,228.72,5.735705574,17878500,0,1
5/13/2005,229.18,231.09,227.32,229.24,5.748745828,14816100,0,1
5/16/2005,229.68,231.62,228.57,231.05,5.794135943,11351400,0,1
5/17/2005,230.56,233.45,230.2,233.13,5.846296959,15602100,0,1
5/18/2005,233.61,239.97,233.52,239.16,5.99751375,24599300,0,1
5/19/2005,240.48,241.17,238.27,239.18,5.998015299,19413500,0,1
5/20/2005,241.21,241.67,239.65,241.61,6.058953409,16310600,0,1
5/23/2005,243.16,258.1,242.71,255.45,6.406024785,42733800,0,1
5/24/2005,256.96,265.44,253.5,256,6.419817361,58028100,0,1
5/25/2005,252.73,260.98,250.63,260.81,6.540439711,36079600,0,1
5/26/2005,260.96,263.76,258.3,259.2,6.500065078,27066100,0,1
5/27/2005,260.48,266.05,259.25,266,6.670591477,24343800,0,1
5/31/2005,269.56,278.4,269.37,277.27,6.953213905,44429100,0,1
6/1/2005,283.2,292.89,282.02,288,7.222294531,70313000,0,1
6/2/2005,288.73,289.78,284.6,287.9,7.21978679,35912200,0,1
6/3/2005,286.79,289.3,277.41,280.26,7.028195366,37527000,0,1
6/6/2005,282.39,293.75,281.83,290.94,7.296022121,45006700,0,1
6/7/2005,297.1,299.59,290.3,293.12,7.350690879,48597300,0,1
6/8/2005,292.85,293.19,278,279.56,7.010641178,51350300,0,1
6/9/2005,284.72,288.5,280.56,286.31,7.179913706,32849300,0,1
6/10/2005,286.99,287.28,280.02,282.5,7.084368768,25367800,0,1
6/13/2005,279.82,284.19,276.52,282.75,7.090638121,25580700,0,1
6/14/2005,278.59,281.24,277.75,278.35,6.98029751,20163600,0,1
6/15/2005,275,277.3,267.43,274.8,6.891272699,41724400,0,1
6/16/2005,274.26,278.3,273.07,277.44,6.957477065,24899800,0,1
6/17/2005,279,280.3,275.9,280.3,7.029198462,20847900,0,1
6/20/2005,276.08,287.672,271.73,286.7,7.189693896,42007300,0,1
6/21/2005,288.18,290.3,284.97,287.84,7.218282145,30234300,0,1
6/22/2005,289.67,292.32,288.67,289.3,7.254895166,20927000,0,1
6/23/2005,288,294.81,286.5,289.71,7.265176905,28084600,0,1
6/24/2005,290.9,298,289.58,297.25,7.454260588,35506800,0,1
6/27/2005,298.9,304.47,293.86,304.1,7.626040858,35570100,0,1
6/28/2005,306.28,309.25,302,302,7.573378293,38034900,0,1
6/29/2005,302.5,304.38,292.15,292.72,7.340659914,36560800,0,1
6/30/2005,294.34,298.93,291.04,294.15,7.376520612,30158600,0,1
7/1/2005,295.04,296.24,289.22,291.25,7.303796119,18436700,0,1
7/5/2005,292,295.98,290.23,295.71,7.415641375,14973000,0,1
7/6/2005,297.3,297.6,291.38,291.525,7.310692407,15984500,0,1
7/7/2005,289.39,295.8,288.51,295.54,7.411378215,21322800,0,1
7/8/2005,296.25,297.5,294.05,296.23,7.428681629,14900200,0,1
7/11/2005,296.4,296.6,291.02,293.35,7.356458683,16763800,0,1
7/12/2005,293.39,294.4,290.93,291.784,7.317187457,11718000,0,1
7/13/2005,292.51,299.24,292.1,298.86,7.494635221,22852900,0,1
7/14/2005,305.34,306.75,300.07,300.89,7.545542366,21314000,0,1
7/15/2005,301.24,303.4,299.78,301.19,7.55306559,16859900,0,1
7/18/2005,300,301.9,297.75,299.54,7.511687861,12403100,0,1
7/19/2005,302.26,310.35,301.8,309.9,7.771489845,25217500,0,1
7/20/2005,305.57,312.6088,301.8,312,7.824152409,28592100,0,1
7/21/2005,314.05,317.8,311.21,313.94,7.872802587,39539200,0,1
7/22/2005,306.37,309.25,296.33,302.4,7.583409258,46726800,0,1
7/25/2005,302.39,303.29,294.96,295.85,7.419152212,19298200,0,1
7/26/2005,295.01,298,292.09,296.09,7.425170791,19614100,0,1
7/27/2005,297.74,298.23,292.4,296.93,7.446235817,14421300,0,1
7/28/2005,297.2,297.41,293.28,293.5,7.360220295,11839300,0,1
7/29/2005,292.14,292.84,286.99,287.76,7.216275953,16709800,0,1
8/1/2005,288.48,292.5,288.1,291.6099,7.312821479,11313400,0,1
8/2/2005,291.6,299.52,291.12,299.19,7.502910767,14565800,0,1
8/3/2005,298,299.72,295.6,297.3,7.455514459,11849300,0,1
8/4/2005,295.55,299,295.25,297.73,7.466297746,10462500,0,1
8/5/2005,297.5,298.51,291.31,292.35,7.331381272,11867500,0,1
8/8/2005,293.6,295.65,290.49,291.25,7.303796119,8954600,0,1
8/9/2005,291.96,292.68,288.51,291.57,7.311820891,11547000,0,1
8/10/2005,291.3,292.33,284.88,285.68,7.164114936,13744200,0,1
8/11/2005,285.89,286.58,280.62,284.05,7.123238756,15014700,0,1
8/12/2005,283.36,290.2,281.64,289.721,7.265452757,13158600,0,1
8/15/2005,289.98,292.77,283.77,284,7.121984885,16333000,0,1
8/16/2005,284.88,287.79,283.34,285.65,7.163362614,14204100,0,1
8/17/2005,285.51,286.57,284,285.1,7.149570038,7758800,0,1
8/18/2005,275.91,280.5,275,279.99,7.021424465,23721800,0,1
8/19/2005,280.99,281.45,279.62,280,7.021675239,11074700,0,1
8/22/2005,281.24,281.47,273.35,274.01,6.871461544,13612300,0,1
8/23/2005,276.16,279.74,274.12,279.58,7.011142726,11631700,0,1
8/24/2005,277.57,284.75,276.45,282.57,7.086124187,17169000,0,1
8/25/2005,282.55,284,279.97,282.59,7.086625735,8744400,0,1
8/26/2005,283.48,285.02,282.66,283.58,7.111452372,7503000,0,1
8/29/2005,282.24,289.12,282.24,288.45,7.233579367,11794100,0,1
8/30/2005,287.22,289.51,285.88,287.27,7.203988021,9574400,0,1
8/31/2005,288.23,288.5,284.36,286,7.172139708,10057900,0,1
9/1/2005,285.91,287.5,285,286.25,7.178409061,5478700,0,1
9/2/2005,286.51,289.99,286.44,288.45,7.233579367,6862100,0,1
9/6/2005,289,289.39,286.8,287.11,7.199975635,8416100,0,1
9/7/2005,285.89,295.5,285.28,294.87,7.394576349,14984000,0,1
9/8/2005,294.83,299.28,293.36,295.39,7.407616603,13213300,0,1
9/9/2005,297.28,299.1,296.56,299.09,7.500403026,8772200,0,1
9/12/2005,301.75,311.42,301,309.74,7.767477459,20752200,0,1
9/13/2005,308.74,315.53,306.17,311.68,7.816127637,20579200,0,1
9/14/2005,308.73,313.28,300.3,303,7.598455705,22529000,0,1
9/15/2005,299.8,306.75,297.91,302.62,7.588926288,30901400,0,1
9/16/2005,304.02,304.5,299.87,300.2,7.528238952,15144400,0,1
9/19/2005,301,306,300.71,303.79,7.61826686,11512200,0,1
9/20/2005,306.15,311.3,305.23,307.91,7.721585796,18683200,0,1
9/21/2005,308.41,313.76,305.96,311.9,7.821644668,20219100,0,1
9/22/2005,311.49,319.22,310.17,311.37,7.80835364,25986700,0,1
9/23/2005,313,317.21,312.59,315.36,7.908412512,16950600,0,1
9/26/2005,319.5,320.95,312.56,314.28,7.881328907,19769000,0,1
9/27/2005,314.95,318.41,313.38,313.94,7.872802587,13732400,0,1
9/28/2005,314.22,315.1,305.6,306,7.67368794,15978800,0,1
9/29/2005,306.68,310.72,306.08,309.62,7.764468169,11216300,0,1
9/30/2005,314.22,317.5,312.29,316.46,7.935997665,18284200,0,1
10/3/2005,313.63,320.11,312.79,318.68,7.991669518,18302200,0,1
10/4/2005,319.58,321.28,310.74,311,7.799074997,18270300,0,1
10/5/2005,312.69,314.9,308,310.71,7.791802548,16640100,0,1
10/6/2005,313.98,314.48,310.09,312.75,7.842960468,15971600,0,1
10/7/2005,314.79,316.67,310.54,312.99,7.848979046,13527000,0,1
10/10/2005,313.31,314.82,309.15,310.65,7.790297903,11133200,0,1
10/11/2005,311.16,312.65,304.86,306.1,7.676195681,17068100,0,1
10/12/2005,305.2,307.19,299,300.97,7.547548559,18593700,0,1
10/13/2005,302,302,290.685,297.44,7.459025297,21114200,0,1
10/14/2005,299.26,300.23,292.54,296.14,7.426424661,17021100,0,1
10/17/2005,297.5,305.2,294.56,305,7.648610528,15118200,0,1
10/18/2005,304.96,307.96,302.74,303.28,7.60547738,14141400,0,1
10/19/2005,304,309.87,303.96,308.7,7.741396951,14007300,0,1
10/20/2005,309.99,311.13,301.21,303.2,7.603471187,27795500,0,1
10/21/2005,345.8,346.43,333,339.9,8.523812192,45739000,0,1
10/24/2005,343.37,349.3,342.19,348.65,8.743239543,18844500,0,1
10/25/2005,345.78,347.4,342.86,346.91,8.699604847,13742800,0,1
10/26/2005,346.28,356,346.19,355.44,8.913515167,17797100,0,1
10/27/2005,356.6,357.09,351.68,353.06,8.853830928,10258500,0,1
10/28/2005,355.27,358.95,355.02,358.17,8.981976501,11795100,0,1
10/31/2005,360.24,374.75,359.51,372.14,9.332307941,28657100,0,1
11/1/2005,371.86,383.9,369.01,379.38,9.5138684,32679400,0,1
11/2/2005,381.7,385,377.17,379.68,9.521391624,21109600,0,1
11/3/2005,382.41,386.58,381.38,385.95,9.678626994,14881900,0,1
11/4/2005,389.72,391.79,385.45,390.43,9.790973798,17632100,0,1
11/7/2005,395.1,397.47,392.15,395.03,9.906329891,19163800,0,1
11/8/2005,394.25,395.59,388.58,389.9,9.77768277,15779200,0,1
11/9/2005,386.67,388.29,378.03,379.15,9.508100596,20912800,0,1
11/10/2005,378.36,391.35,377.43,391.1,9.807775664,18239100,0,1
11/11/2005,395.12,396.9,388.85,390.4,9.790221476,14113600,0,1
11/14/2005,392.12,398.22,391.53,396.97,9.95498007,15600100,0,1
11/15/2005,394.38,397,390.95,392.8,9.850407264,17232500,0,1
11/16/2005,396.2,398.85,394.11,398.15,9.984571415,17373000,0,1
11/17/2005,401.8,403.81,399.53,403.45,10.1174817,18405900,0,1
11/18/2005,403.62,404.5,399.85,400.21,10.03623088,14037100,0,1
11/21/2005,399.17,409.98,393.49,409.36,10.2656892,20649500,0,1
11/22/2005,408.65,417.31,406.23,416.47,10.4439896,19172800,0,1
11/23/2005,417.04,424.72,415.78,422.86,10.60423426,20149800,0,1
11/25/2005,425.78,428.75,425.3,428.62,10.74868015,9670500,0,1
11/28/2005,429.82,431.24,422.44,423.48,10.61978225,21994700,0,1
11/29/2005,424.14,426.4,402.14,403.54,10.11973866,42948600,0,1
11/30/2005,404.48,408.45,395.56,404.9125,10.15415741,31162000,0,1
12/1/2005,409.2,415.44,408.29,414.0901,10.38430786,19470300,0,1
12/2/2005,416.94,419.53,413.86,417.7,10.47483481,15071900,0,1
12/5/2005,417,417.5,404.28,405.85,10.17766748,20558200,0,1
12/6/2005,408.7,416.41,401.7,404.54,10.14481608,30220300,0,1
12/7/2005,406.16,406.7,399.01,404.22,10.1367913,23308400,0,1
12/8/2005,405.3,410.65,402.64,410.65,10.29803906,17802100,0,1
12/9/2005,415,415.78,408.56,409.2,10.26167681,15271500,0,1
12/12/2005,414.63,415.21,409.95,412.612,10.34724094,13886200,0,1
12/13/2005,413,418,411.64,417.49,10.46956856,16311200,0,1
12/14/2005,417.04,419.73,415.49,418.96,10.50643235,13247500,0,1
12/15/2005,419.11,423.14,416.5,422.53,10.59595871,12079500,0,1
12/16/2005,425.34,432.5,422.75,430.15,10.78704859,32628300,0,1
12/19/2005,432.2,446.21,420.11,424.6,10.64786895,43829700,0,1
12/20/2005,427.86,432.2,424.67,429.74,10.77676685,20149200,0,1
12/21/2005,433.55,436.86,420.71,426.33,10.69125287,22421300,0,1
12/22/2005,431.765,432.86,425.93,432.04,10.83444489,15078100,0,1
12/23/2005,432.15,432.5,428.78,430.93,10.80660897,9181000,0,1
12/27/2005,431.86,431.86,422.76,424.64,10.64887205,13392100,0,1
12/28/2005,424.12,427.78,421.26,426.69,10.70028074,14221500,0,1
12/29/2005,427.98,428.73,419.17,420.15,10.53627447,13877700,0,1
12/30/2005,417.27,418.21,413.74,414.86,10.40361496,15159000,0,1
1/3/2006,422.52,435.67,418.22,435.23,10.91444184,26216100,0,1
1/4/2006,443.9,448.96,439.75,445.24,11.16546673,30542200,0,1
1/5/2006,446,451.55,441.5,451.24,11.3159312,21594900,0,1
1/6/2006,456.87,470.5,453.24,465.66,11.67754747,35478200,0,1
1/9/2006,466.15,473.4,460.94,466.9001,11.70864597,25558200,0,1
1/10/2006,464.42,470.25,462.04,469.76,11.78036486,18176000,0,1
1/11/2006,471.27,475.11,469.18,471.63,11.82725962,17996700,0,1
1/12/2006,473.72,474.99,461.5,463.63,11.62664032,20230300,0,1
1/13/2006,464.31,466.89,461.61,466.25,11.69234314,15297800,0,1
1/17/2006,464.21,469.9,462.53,467.11,11.71390972,16524000,0,1
1/18/2006,447.3,457.36,443.25,444.9099,11.15718867,40930400,0,1
1/19/2006,451.17,453.49,433,436.445,10.94491089,29045500,0,1
1/20/2006,437.5,440.03,394.74,399.4601,10.01742533,82151100,0,1
